InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Description
C536383,35004C,-1,2010-12-01 09:49,5.45,15311,UNITED KINGDOM,SET OF 3 COLOURED  FLYING DUCKS
C536391,22556,-12,2010-12-01 10:24,1.65,17548,UNITED KINGDOM,PLASTERS IN TIN CIRCUS PARADE
C536391,21984,-24,2010-12-01 10:24,0.29,17548,UNITED KINGDOM,PACK OF 12 PINK PAISLEY TISSUES
C536391,21983,-24,2010-12-01 10:24,0.29,17548,UNITED KINGDOM,PACK OF 12 BLUE PAISLEY TISSUES
C536391,21980,-24,2010-12-01 10:24,0.29,17548,UNITED KINGDOM,PACK OF 12 RED RETROSPOT TISSUES
C536391,21484,-12,2010-12-01 10:24,4.25,17548,UNITED KINGDOM,CHICK GREY HOT WATER BOTTLE
C536391,22557,-12,2010-12-01 10:24,1.65,17548,UNITED KINGDOM,PLASTERS IN TIN VINTAGE PAISLEY
C536391,22553,-24,2010-12-01 10:24,1.65,17548,UNITED KINGDOM,PLASTERS IN TIN SKULLS
C536506,22960,-6,2010-12-01 12:38,4.25,17897,UNITED KINGDOM,JAM MAKING SET WITH JARS
C536543,22632,-1,2010-12-01 14:30,2.1,17841,UNITED KINGDOM,HAND WARMER RED POLKA DOT
C536543,22355,-2,2010-12-01 14:30,0.85,17841,UNITED KINGDOM,CHARLOTTE BAG SUKI DESIGN
C536548,22244,-4,2010-12-01 14:33,1.95,12472,GERMANY,3 HOOK HANGER MAGIC GARDEN
C536548,22242,-5,2010-12-01 14:33,1.65,12472,GERMANY,5 HOOK HANGER MAGIC TOADSTOOL
C536548,20914,-1,2010-12-01 14:33,2.95,12472,GERMANY,SET/5 RED RETROSPOT LID GLASS BOWLS
C536548,22892,-7,2010-12-01 14:33,1.25,12472,GERMANY,SET OF SALT AND PEPPER TOADSTOOLS
C536548,22654,-1,2010-12-01 14:33,5.95,12472,GERMANY,DELUXE SEWING KIT
C536548,22767,-2,2010-12-01 14:33,9.95,12472,GERMANY,TRIPLE PHOTO FRAME CORNICE
C536548,22333,-1,2010-12-01 14:33,1.65,12472,GERMANY,RETROSPOT PARTY BAG + STICKER SET
C536548,22245,-2,2010-12-01 14:33,0.85,12472,GERMANY,"HOOK, 1 HANGER ,MAGIC GARDEN"
C536548,22077,-6,2010-12-01 14:33,1.65,12472,GERMANY,6 RIBBONS RUSTIC CHARM
C536548,22631,-1,2010-12-01 14:33,1.95,12472,GERMANY,CIRCUS PARADE LUNCH BOX
C536548,22168,-2,2010-12-01 14:33,8.5,12472,GERMANY,ORGANISER WOOD ANTIQUE WHITE
C536548,21218,-3,2010-12-01 14:33,3.75,12472,GERMANY,RED SPOTTY BISCUIT TIN
C536548,20957,-1,2010-12-01 14:33,1.45,12472,GERMANY,PORCELAIN HANGING BELL SMALL
C536548,22580,-4,2010-12-01 14:33,5.95,12472,GERMANY,ADVENT CALENDAR GINGHAM SACK
C536606,20914,-2,2010-12-02 09:10,2.95,14092,UNITED KINGDOM,SET/5 RED RETROSPOT LID GLASS BOWLS
C536622,22752,-2,2010-12-02 10:37,8.5,12471,GERMANY,SET 7 BABUSHKA NESTING BOXES
C536625,22839,-2,2010-12-02 10:46,14.95,14766,UNITED KINGDOM,3 TIER CAKE TIN GREEN AND CREAM
C536642,21463,-1,2010-12-02 11:56,5.95,14390,UNITED KINGDOM,MIRRORED DISCO BALL
C536734,22780,-4,2010-12-02 12:50,4.25,16042,UNITED KINGDOM,LIGHT GARLAND BUTTERFILES PINK
C536734,85048,-1,2010-12-02 12:50,7.95,16042,UNITED KINGDOM,15CM CHRISTMAS GLASS BALL 20 LIGHTS
C536737,22798,-2,2010-12-02 13:05,2.95,15922,UNITED KINGDOM,ANTIQUE GLASS DRESSING TABLE POT
C536757,84347,-9360,2010-12-02 14:23,2.55,15838,UNITED KINGDOM,ROTATING SILVER ANGELS T-LIGHT HLDR
